Date,Item,Quantity,UnitPrice,UnitCost
2025-05-01,Organic Raw Milk,110,2.50,1.20
2025-06-01,Organic Raw Milk,115,2.50,1.20
2025-07-01,Organic Raw Milk,105,2.50,1.20
2025-08-01,Organic Raw Milk,100,2.50,1.20
2025-09-01,Organic Raw Milk,120,2.50,1.20
2025-10-01,Organic Raw Milk,150,2.50,1.20
2025-11-01,Organic Raw Milk,180,2.50,1.20
2025-12-01,Organic Raw Milk,250,2.50,1.20
2026-01-05,Organic Raw Milk,100,2.50,1.20
2026-02-05,Organic Raw Milk,200,2.50,1.20
2026-03-05,Organic Raw Milk,300,2.50,1.20
2026-04-05,Organic Raw Milk,500,2.50,1.20
2025-05-01,Standard Cow Milk,400,1.80,0.90
2025-06-01,Standard Cow Milk,410,1.80,0.90
2025-07-01,Standard Cow Milk,390,1.80,0.90
2025-08-01,Standard Cow Milk,395,1.80,0.90
2025-09-01,Standard Cow Milk,420,1.80,0.90
2025-10-01,Standard Cow Milk,430,1.80,0.90
2025-11-01,Standard Cow Milk,450,1.80,0.90
2025-12-01,Standard Cow Milk,500,1.80,0.90
2026-01-10,Standard Cow Milk,400,1.80,0.90
2026-02-10,Standard Cow Milk,410,1.80,0.90
2026-03-10,Standard Cow Milk,395,1.80,0.90
2026-04-10,Standard Cow Milk,405,1.80,0.90
2025-05-01,Heavy Cream,90,4.50,2.10
2025-06-01,Heavy Cream,100,4.50,2.10
2025-07-01,Heavy Cream,95,4.50,2.10
2025-08-01,Heavy Cream,90,4.50,2.10
2025-09-01,Heavy Cream,105,4.50,2.10
2025-10-01,Heavy Cream,120,4.50,2.10
2025-11-01,Heavy Cream,150,4.50,2.10
2025-12-01,Heavy Cream,220,4.50,2.10
2026-01-12,Heavy Cream,80,4.50,2.10
2026-02-12,Heavy Cream,85,4.50,2.10
2026-03-12,Heavy Cream,90,4.50,2.10
2026-04-12,Heavy Cream,110,4.50,2.10
2025-05-01,Goat Milk,55,5.20,2.50
2025-06-01,Goat Milk,60,5.20,2.50
2025-07-01,Goat Milk,58,5.20,2.50
2025-08-01,Goat Milk,55,5.20,2.50
2025-09-01,Goat Milk,52,5.20,2.50
2025-10-01,Goat Milk,50,5.20,2.50
2025-11-01,Goat Milk,65,5.20,2.50
2025-12-01,Goat Milk,80,5.20,2.50
2026-01-05,Goat Milk,50,5.20,2.50
2026-02-05,Goat Milk,60,5.20,2.50
2026-03-05,Goat Milk,45,5.20,2.50
2026-04-05,Goat Milk,55,5.20,2.50
2025-05-01,Refined Sugar,260,1.10,0.55
2025-06-01,Refined Sugar,275,1.10,0.55
2025-07-01,Refined Sugar,290,1.10,0.55
2025-08-01,Refined Sugar,300,1.10,0.55
2025-09-01,Refined Sugar,280,1.10,0.55
