Item,OrderCost_S,CarryingRate_i
Organic Raw Milk,65.00,0.30
Standard Cow Milk,45.00,0.20
Heavy Cream,55.00,0.35
Goat Milk,70.00,0.30
Refined Sugar,40.00,0.15
Liquid Honey,50.00,0.10
Corn Syrup,40.00,0.15
Whole Strawberries,80.00,0.45
Vanilla Bean Pods,120.00,0.05
Cocoa Powder,50.00,0.10
Mango Puree,60.00,0.25
Blueberry Extract,60.00,0.15
Yogurt Bacteria Blend,100.00,0.05
Cheese Rennet,90.00,0.05
1L Plastic Bottles,35.00,0.08
500ml Glass Jars,35.00,0.10
Cardboard Cartons,35.00,0.08
Bottle Caps,35.00,0.05
Bleach Sanitizer,40.00,0.12
Floor Cleaner,40.00,0.12
